"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"left lower quadrant","/lɛft ˈloʊər ˈkwɒdrənt/","chap pastki kvadrant","левый нижний квадрант","Qorin bo'shlig'ining to'rtdan bir qismi bo'lib, u yerda sigmasimon ichak joylashgan.","Одна четвертая часть области живота, расположенная внизу слева.","Latin laevus (left) + quadrans (a fourth part).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5b/5b9e0f372e804aa8485d9ecc0f2e1aafd8a915e2.mp3"
"left lower quadrant pain","/lɛft ˈloʊər ˈkwɒdrənt peɪn/","chap pastki kvadrantdagi og'riq","боль в левом нижнем квадранте","Qorinning chap pastki qismidagi og'riq, ko'pincha o'tkir divertikulit belgisi.","Боль в левой нижней части живота, часто указывающая на острый дивертикулит.","Latin laevus (left) + quadrans (a fourth part).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d2/d2f447325ef6ad4015a71a9927af8bfabd354fa8.mp3"
"leptomeningeal inflammation","/ˌlɛptoʊməˈnɪndʒiəl ˌɪnfləˈmeɪʃən/","leptomeningeal yallig'lanish","лептоменингеальное воспаление","Miyaning yumshoq va o'rgimchaksimon pardalarining yallig'lanishi.","Воспаление мягкой и паутинной мозговых оболочек.","Greek leptos (slender) + meninx (membrane).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ac/acb29ab887e9662823ac758d5edee8fbee18eb07.mp3"
"leptomeninges","/ˌlɛptoʊməˈnɪndʒiːz/","yumshoq miya pardalari","мягкие мозговые оболочки","Miyaning o'rgimchaksimon va yumshoq pardalarini o'z ichiga olgan qismi.","Внутренние оболочки головного мозга, включающие паутинную и мягкую оболочки.","Greek leptos (slender/thin) + meninx (membrane).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a2/a24658988c5aef76b7a19e8d81694544172278be.mp3"
"Leser-Trélat sign","/ləˈzeɪ treɪˈlɑː saɪn/","Lezer-Trela belgisi","симптом Лезера-Трела","Ichki a'zolar xavfli o'simtasi fonida ko'plab seboreik keratozlarning to'satdan va tez paydo bo'lishi.","Внезапное появление множественных себорейных кератом, часто являющееся паранеопластическим признаком внутреннего рака.","Named after Edmund Leser and Ulysse Trélat, the surgeons who first described the association.","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/36/36aad41c50718a903786732479792b01d52e729a.mp3"
"lesion biopsy","/ˈliːʒən ˈbaɪɒpsi/","zararlangan soha biopsiyasi","биопсия образования","Tashxisni tasdiqlash uchun patologik o'zgargan to'qimadan namuna olish.","Забор образца патологической ткани для гистологического исследования и подтверждения диагноза.","Latin laesio (injury) + Greek bios (life) + opsis (sight).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f3/f34bef466f3afe6a7276c5002ebe2fc3c5472f48.mp3"
"less variability in therapeutic effect","/lɛs ˌvɛəriəˈbɪlɪti ɪn ˌθɛrəˈpjuːtɪk ɪˈfɛkt/","terapevtik ta'sirning kamroq o'zgaruvchanligi","меньшая вариабельность терапевтического эффекта","Dori vositasining ta'siri turli omillar ta'sirida kamroq o'zgarishi va barqaror bo'lishi.","Стабильность действия препарата с минимальными колебаниями под влиянием внешних факторов.","Latin variabilis (changeable) + Greek therapeutikos (healing).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ab/ab0e0deb95186172303b7dca254215d730bd69cd.mp3"
"lesser curvature of the stomach","/ˈlɛsər ˈkɜːrvətʃər əv ðə ˈstʌmək/","oshqozonning kichik egriligi","малая кривизна желудка","Oshqozonning o'ng va yuqori qirrasi bo'lib, u yerda ko'pincha oshqozon yaralari va chap me'da arteriyasi joylashgan.","Верхний правый край желудка, где наиболее часто локализуются язвы и проходит левая желудочная артерия.","Lesser (smaller) + Latin curvatura (a bending).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0d/0dd375417f06c3405bebd8bce9c34ac8bb0c98c9.mp3"
"lesser omentum","/ˈlɛsər oʊˈmɛntəm/","kichik charvi","малый сальник","Jigarni me'daning kichik egriligi va o'n ikki barmoqli ichak bilan bog'laydigan qorin pardasining ikki qavatli burmasi.","Двуслойная складка брюшины, идущая от печени к малой кривизне желудка и начальной части двенадцатиперстной кишки.","Latin omentum (fat skin/membrane).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/b9/b9224821c614b1c31a6dcf6a8942831239fc5d6d.mp3"
"lesser peritoneal sac","/ˈlɛsər ˌpɛrɪtəˈniːəl sæk/","kichik charvi xaltasi","сальниковая сумка","Oshqozon orqasida joylashgan qorin bo'shlig'ining bir qismi.","Часть брюшной полости, расположенная позади желудка и малого сальника.","Latin minor (lesser) + Greek peritonaion (abdominal membrane).","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/43/4364ba84ebc8f33e55bb6ba07c987ed2e926cca4.mp3"
"lesser trochanter","/ˈlɛsər troʊˈkæntər/","kichik ko'st","малый вертел","Son suyagining yuqori qismidagi kichik o'simta bo'lib, unga iliopsoas mushagi birikadi.","Небольшой костный выступ на проксимальном отделе бедренной кости, место прикрепления подвздошно-поясничной мышцы.","English lesser + Greek trokhanter (runner).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/43/437bf4b500a9954b28e7a8d42f21710899bd1506.mp3"
"lethality of method","/liːˈθæləti əv ˈmɛθəd/","usulning o'lim darajasi","летальность метода","Tanlangan o'zini o'ldirish usulining o'limga olib kelish ehtimoli darajasi.","Степень вероятности того, что выбранный способ самоубийства приведет к смерти.","Latin letum (death) + Greek methodos (system).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/cf/cf07e2c5c7e933caf6cc9399ff22d40fff40faf1.mp3"
"lethargic","/ləˈθɑːrdʒɪk/","letargik (uyquchanlik)","летаргический (заторможенный)","Bemorning g'ayritabiiy darajada uyquchan, holsiz va tashqi stimullarga sust javob berishi.","Состояние патологической сонливости и вялости, при котором пациент с трудом реагирует на раздражители.","Greek lethargos (forgetful).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5e/5e69e464fb93673285477f323b14b74434cfceef.mp3"
"lethargic and disoriented","/ləˈθɑːrdʒɪk ænd dɪsˈɔːriɛntɪd/","letargik va dezorientatsiyalangan","заторможен и дезориентирован","Bemorning uyquchanligi va vaqt, joy yoki shaxsni aniqlashda qiynalishi bilan tavsiflangan ruhiy holati.","Состояние пациента, характеризующееся патологической сонливостью и нарушением ориентации в пространстве и времени.","Greek lethargos (forgetful) + Latin dis- (apart) + oriens (rising sun/east).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/26/26528a84e7860e744f6745feb8e6daf0eadd6cd0.mp3"
"lethargic but arousable","/ləˈθɑːrdʒɪk bʌt əˈraʊzəbəl/","letargik, lekin uyg'otsa bo'ladi","заторможена, но доступна контакту","Bemorning uyquchanlik holatida bo'lishi, biroq tashqi stimullar yordamida hushiga keltirilishi mumkinligi.","Состояние патологической сонливости, при котором пациента можно разбудить внешними стимулами.","Greek lethargos (forgetful) + English arouse.","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f5/f532949651a36bbdb37a44cbab43cb71dc9d7cb4.mp3"
"lethargy","/ˈlɛθərdʒi/","letargiya (uyquchanlik)","летаргия (патологическая сонливость)","Bemorning atrof-muhitga sust javob berishi va haddan tashqari uyquchanlik holati.","Состояние патологической сонливости и снижения психической активности.","Greek lethargia (forgetfulness/drowsiness).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c0/c09b07b9a67c366b7e5b8bb699ca15ec725de677.mp3"
"leucine residues","/ˈluːsiːn ˈrɛzɪdjuːz/","leytsin qoldiqlari","остатки лейцина","Polipeptid zanjiri tarkibiga kirgan va o'ziga xos xususiyatini saqlab qolgan leytsin aminokislotasi birliklari.","Аминокислотные звенья лейцина, включенные в состав белковой молекулы.","Greek leukos (white) + Latin residuum (that which remains).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c3/c3e97f63acfb232151f43df6bb90cae3bdc83f72.mp3"
"leukemia relapse","/luːˈkiːmiə rɪˈlæps/","leykoz qaytalanishi (retsidivi)","рецидив лейкоза","Davolanishdan keyin leykoz kasalligining qaytadan paydo bo'lishi.","Возврат симптомов и признаков лейкемии после периода ремиссии.","Greek leukos (white) + haima (blood) + Latin relapsus (slid back).","condition","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/bc/bcdd2e75cd7cdd004db746bed43e7098e4944043.mp3"
"leukemoid reaction","/ˌluːkəˈmɔɪd riˈækʃən/","leykemoid reaksiya","лейкемоидная реакция","Og'ir infeksiya yoki yallig'lanish natijasida leykotsitlar sonining 50,000/mm³ dan oshib ketishi.","Выраженный лейкоцитоз (более 50,000/mm³), возникающий как ответ на тяжелую инфекцию или воспаление.","Greek leukos (white) + -eidos (resembling) + Latin re- (back) + actio (doing).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/49/49cffbd3b5abb1d4ae54286dcb3302404abbed94.mp3"
"leukocoria","/ˌluːkəˈkɔːriə/","leykokoriya (oq qorachiq)","лейкокория (белый зрачок)","Qorachiq sohasida oq rangli refleksning ko'rinishi, ko'pincha retinoblastoma yoki katarakta belgisi.","Появление белого свечения зрачка при осмотре, часто являющееся признаком ретинобластомы или катаракты.","Greek leukos (white) + kore (pupil).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/32/32ff666732aa8ea265d9ac0d9a202ec23fefe0cc.mp3"
"leukocyte adhesion","/ˈluːkəsaɪt ædˈhiːʒən/","leykotsitlar adgeziyasi (yopishishi)","адгезия лейкоцитов","Leykotsitlarning qon tomir devoriga yopishishi va yallig'lanish o'chog'iga o'tish jarayoni.","Процесс прилипания лейкоцитов к эндотелию сосудов для последующего выхода в ткани.","Greek leukos (white) + kytos (cell) + Latin adhaerere (to stick to).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/75/75f26d8d2446623b4bf4e5653d571f79134ba670.mp3"
"leukocyte adhesion deficiency","/ˈluːkəsaɪt ædˈhiːʒən dɪˈfɪʃənsi/","leykotsitlar adgeziyasi yetishmovchiligi","дефицит адгезии лейкоцитов","Leykotsitlar migratsiyasining buzilishi va kindik tushishining kechikishi bilan tavsiflanadigan immun tanqislik kasalligi.","Иммунодефицитное состояние, характеризующееся нарушением миграции лейкоцитов и задержкой отпадения пупочного остатка.","Greek leukos (white) + kytos (cell) + Latin adhaerere (to stick to).","condition","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/08/081c8b3619b74ece9e3de88874fa278e17e92c26.mp3"
"leukocyte alkaline phosphatase","/ˈluːkəsaɪt ˈælkəlaɪn ˈfɒsfəteɪz/","leykotsitar ishqoriy fosfataza","щелочная фосфатаза лейкоцитов","Neytrofillar ichidagi ferment bo'lib, uning darajasi surunkali mieloleykozda past, leykemoid reaksiyada esa yuqori bo'ladi.","Фермент внутри нейтрофилов, уровень которого снижен при хроническом миелолейкозе и повышен при лейкемоидной реакции.","Greek leukos (white) + kytos (cell) + alkaline (basic) + phosphatase (enzyme).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3d/3d5ead196cf1849e5e9e9108acbb9e83fe668982.mp3"
"leukocyte alkaline phosphatase score","/ˈluːkəsaɪt ˈælkəlaɪn ˈfɒsfəteɪz skɔːr/","leykotsitlar ishqoriy fosfatazasi ko'rsatkichi","индекс щелочной фосфатазы лейкоцитов","Neytrofillarning fermentativ faolligini o'lchaydigan test bo'lib, surunkali mieloid leykemiyani leykemoid reaksiyadan farqlash uchun ishlatiladi.","Тест для оценки ферментативной активности нейтрофилов, используемый для дифференциальной диагностики ХМЛ и лейкемоидной реакции.","Greek leukos (white) + kytos (cell) + Arabic al-qali (ashes of saltwort) + Greek phos (light) + ate (enzyme).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/be/befa98c94ed4ea5cf32f55206d27756a5e765064.mp3"
"leukocyte count","/ˈluːkəsaɪt kaʊnt/","leykotsitlar soni","количество лейкоцитов","Qonning ma'lum hajmidagi oq qon hujayralarining umumiy miqdori, infeksiya yoki yallig'lanishni aniqlash uchun ishlatiladi.","Общее количество белых кровяных клеток в единице объема крови, используемое для диагностики инфекции или воспаления.","Greek leukos (white) + kytos (cell).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/dc/dc6100275b042b6bbe5410960804be88825d2789.mp3"
"leukocyte esterase","/ˈluːkəsaɪt ˈɛstəreɪz/","leykotsit esteraza","лейкоцитарная эстераза","Siydikda oq qon hujayralari (leykotsitlar) borligini ko'rsatuvchi ferment, siydik yo'llari infeksiyasi belgisi.","Фермент, указывающий на наличие лейкоцитов в моче, маркер инфекции мочевыводящих путей.","Greek leukos (white) + kytos (cell) + chemical suffix -esterase.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/89/895f3c0fdb895448551bc3c86f449b8b37c2025e.mp3"
"leukocyte migration","/ˈluːkəsaɪt maɪˈɡreɪʃən/","leykotsitlar migratsiyasi","миграция лейкоцитов","Oq qon hujayralarining qon tomirlardan yallig'lanish o'chog'iga harakatlanishi.","Перемещение белых кровяных клеток из сосудистого русла в очаг воспаления.","Greek leukos (white) + kytos (cell) + Latin migratio (removal).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/17/1799830a2cf64581bee2c6acf641210384295302.mp3"
"leukocyte recruitment","/ˈluːkəsaɪt rɪˈkruːtmənt/","leykotsitlar rekrutmenti (jalb qilinishi)","рекрутирование лейкоцитов","Yallig'lanish o'chog'iga qon oqimidan oq qon hujayralarining jalb qilinish jarayoni.","Процесс привлечения лейкоцитов из кровотока в очаг воспаления.","Greek leukos (white) + kytos (cell) + French recruter (to enlist).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/89/898dfda91239dae5b11c88ec0a8387472902c7ef.mp3"
"leukocyte trafficking","/ˈluːkəsaɪt ˈtræfɪkɪŋ/","leykotsitlar migratsiyasi (harakati)","трафик лейкоцитов","Leykotsitlarning qon oqimidan to'qimalarga maqsadli harakatlanish jarayoni.","Процесс направленного перемещения лейкоцитов из кровотока в ткани.","Greek leukos (white) + kytos (cell) + Italian trafficare (to trade/move).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e3/e387c516cdf040f8abc01a6e68e55ab3b61572a1.mp3"
"leukocytic infiltration","/ˌluːkəˈsɪtɪk ˌɪnfɪlˈtreɪʃən/","leykotsitar infiltratsiya","лейкоцитарная инфильтрация","To'qimalarga oq qon hujayralarining (leykotsitlar) kirib borishi, yallig'lanish belgisi.","Проникновение лейкоцитов в ткани, указывающее на воспалительный процесс.","Greek leukos (white) + kytos (cell) + Latin in- (into) + filtrare (to strain).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c6/c6b3dc7c47a19a773a0d64d670d87f799379847a.mp3"
"leukocytoclastic vasculitis","/ˌluːkoʊˌsaɪtəˈklæstɪk ˌvæskjʊˈlaɪtɪs/","leykotsitoklastik vaskulit","лейкоцитокластический васкулит","Neytrofillarning parchalanishi natijasida mayda qon tomirlarning yallig'lanishi.","Воспаление мелких сосудов, характеризующееся распадом ядер нейтрофилов.","Greek leukos (white) + kytos (cell) + klastos (broken) + Latin vasculum (vessel).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/6e/6e8cedff457fc81a05e63c8cfab8ce6e8801482c.mp3"
"leukocytosis","/ˌluːkoʊsaɪˈtoʊsɪs/","leykotsitoz","лейкоцитоз","Qonda oq qon hujayralari (leykotsitlar) sonining me'yordan oshishi.","Повышение уровня лейкоцитов в периферической крови выше нормы.","Greek leukos (white) + kytos (cell) + -osis (condition).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/10/1050845ea63c75c0a2ce052b5b4d9f8f3bb17dc8.mp3"
"leukocytosis with bandemia","/ˌluːkoʊsaɪˈtoʊsɪs wɪð bænˈdiːmiə/","tayoqcha yadroli neytrofillar ko'payishi bilan kechuvchi leykotsitoz","лейкоцитоз с палочкоядерным сдвигом","Qonda oq qon hujayralari va ularning yosh shakllari (tayoqcha yadroli) sonining ortishi.","Повышение уровня лейкоцитов с увеличением количества их незрелых (палочкоядерных) форм.","Greek leukos (white) + kytos (cell) + German band (strip) + Greek haima (blood).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/28/286bd809bbed16005690ebdf4f7d04f8c01f1b9d.mp3"
"leukocytosis with left shift","/ˌluːkoʊsaɪˈtoʊsɪs wɪð lɛft ʃɪft/","chapga siljishli leykotsitoz","лейкоцитоз со сдвигом влево","Qonda leykotsitlar sonining ortishi va yosh (tayoqcha yadroli) neytrofillar ulushining ko'payishi.","Повышение уровня лейкоцитов с увеличением доли молодых (палочкоядерных) форм нейтрофилов.","Greek leukos (white) + kytos (cell) + -osis (condition).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0d/0dcea25b2958bde1f8756ff3e135f4cfb33d343e.mp3"
"leukocytosis with lymphocytosis","/ˌluːkoʊsaɪˈtoʊsɪs wɪð ˌlɪmfoʊsaɪˈtoʊsɪs/","limfotsitoz bilan kechuvchi leykotsitoz","лейкоцитоз с лимфоцитозом","Qonda umumiy leykotsitlar sonining ortishi bilan birga limfotsitlar ulushining ham ko'payishi.","Повышение общего числа лейкоцитов в крови с преимущественным увеличением количества лимфоцитов.","Greek leukos (white) + kytos (cell) + Latin lympha (water) + Greek -osis (condition).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/4c/4cb72fe2e850287b1114e5efe731c4feeb188a9e.mp3"
"leukopenia","/ˌluːkəˈpiːniə/","leykopeniya","лейкопения","Qonda oq qon hujayralari (leykotsitlar) sonining me'yordan kamayishi.","Снижение общего количества лейкоцитов в периферической крови ниже нормы.","Greek leukos (white) + penia (poverty).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/fc/fce95d204594d1fdd11095db31a27b32e2910692.mp3"
"leukopenia with left shift","/ˌluːkoʊˈpiːniə wɪð lɛft ʃɪft/","chapga siljishli leykopeniya","лейкопения со сдвигом влево","Leykotsitlar sonining kamayishi va qonda yosh (tayoqcha yadroli) neytrofillar ulushining ortishi.","Снижение общего количества лейкоцитов с увеличением доли молодых (палочкоядерных) форм нейтрофилов.","Greek leukos (white) + penia (poverty). 'Left shift' refers to the historical manual counting charts.","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/4d/4db414ef51c60717c8ddea9406a7496844284232.mp3"
"leukoplakia","/ˌluːkoʊˈpleɪkiə/","leykoplakiya","лейкоплакия","Shilliq qavatda paydo bo'ladigan, qirib tashlab bo'lmaydigan oqish dog' yoki parda.","Белое пятно или бляшка на слизистой оболочке, которую невозможно соскоблить механическим путем.","Greek leukos (white) + plax (plate/flat).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/92/92e66c1ea7f895cce83cc192902405435dc3b834.mp3"
"leukoreduced blood product","/ˌluːkoʊrɪˈdjuːst blʌd ˈprɒdʌkt/","leykotsitlardan tozalangan qon mahsuloti","лейкоредуцированный компонент крови","Donor qonidan leykotsitlar filtratsiya orqali olib tashlangan qon mahsuloti bo'lib, u transfuzion reaksiyalarni oldini olish uchun ishlatiladi.","Компонент крови, из которого путем фильтрации удалены лейкоциты для предотвращения посттрансфузионных реакций.","Greek leukos (white) + kytos (cell) + Latin reducere (to bring back/reduce).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f5/f592206f5f9706a7f367843a95dbd3dcf50651a0.mp3"
"leukorrhea","/ˌluːkəˈriːə/","leykoreya (oqchil)","лейкорея (бели)","Qin yo'lidan keladigan oq yoki sarg'ish rangli shilliq ajralma.","Белесоватые или слизистые выделения из половых путей женщины или новорожденной девочки.","Greek leukos (white) + rhoia (flow).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d1/d1b81d6ad94922facc8070dc31320d423d1942bf.mp3"
"leukotriene receptor antagonists","/ˌluːkəˈtraɪiːn rɪˈsɛptər ænˈtæɡənɪsts/","leykotrien retseptorlari antagonistlari","антагонисты лейкотриеновых рецепторов","Leykotrienlarning o'z retseptorlari bilan bog'lanishini bloklab, yallig'lanish va bronxospazmni kamaytiradigan dori vositalari guruhi.","Группа препаратов, блокирующих связывание лейкотриенов с рецепторами, уменьшая воспаление и бронхоспазм.","Greek leukos (white) + triene (three double bonds) + Latin recept- (received) + Greek antagonistes.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a4/a492901135eb77d12f22d9e055748ee8e64d39d2.mp3"
"levator ani muscle","/lɪˈveɪtər ˈeɪnaɪ ˈmʌsəl/","anal teshigini ko'taruvchi mushak","мышца, поднимающая задний проход","Chanoq tubini hosil qiluvchi va chanoq a'zolarini ushlab turuvchi keng mushaklar majmuasi.","Широкая мышца, формирующая большую часть тазовой диафрагмы и поддерживающая органы малого таза.","Latin levator (lifter) + anus (ring).","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/35/35f904c4813c0c1329afec11f8a6f7dd2d4671c7.mp3"
"levator ani muscle complex","/lɪˈveɪtər ˈeɪnaɪ ˈmʌsəl ˈkɒmplɛks/","orqa chiqaruv teshigini ko'taruvchi mushaklar majmuasi","комплекс мышц, поднимающих задний проход","Chanoq tubining asosiy qismini tashkil etuvchi va chanoq a'zolarini ushlab turuvchi mushaklar guruhi.","Группа мышц, формирующая большую часть тазового дна и поддерживающая органы малого таза.","Latin levator (lifter) + anus (ring/anus).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/55/55781ccf165990ea40897f6debb23ae2eaac78f1.mp3"
"levator palpebrae superioris","/lɪˈveɪtər pælˈpiːbriː suːˌpɪəriˈɔːrɪs/","yuqori qovoqni ko'taruvchi mushak","мышца, поднимающая верхнее веко","Yuqori qovoqni ko'tarish uchun mas'ul bo'lgan va uchinchi nerv tomonidan innervatsiya qilinadigan mushak.","Мышца, отвечающая за поднятие верхнего века, иннервируемая глазодвигательным нервом.","Latin levator (lifter) + palpebrae (of the eyelid) + superioris (upper).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/44/44646983e3e83e4d4cf974b9dbfc15f1cb906429.mp3"
"levator veli palatini","/lɪˈveɪtər ˈviːlaɪ ˌpæləˈtaɪni/","yumshoq tanglayni ko'taruvchi mushak","мышца, поднимающая мягкое небо","Yumshoq tanglayni ko'taradigan va Yevstaxiy naychasini ochishga yordam beradigan mushak.","Мышца, поднимающая мягкое небо и участвующая в открытии просвета слуховой трубы.","Latin levator (lifter) + velum (curtain/veil) + palatum (palate).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e9/e99057e899cd8908d0f62dd978d6808de2baff5f.mp3"
"Lewy bodies","/ˈluːi ˈbɒdiz/","Levi tanachalari","тельца Леви","Parkinson kasalligi va Levi tanachalari demensiyasida uchraydigan alfa-sinuklein oqsilidan iborat hujayra ichidagi inkluziyalar.","Внутриклеточные включения, состоящие из альфа-синуклеина, характерные для болезни Паркинсона и деменции с тельцами Леви.","Named after Frederic Lewy, the neurologist who first described them.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0a/0a78d726b22acac29bb40aecbbcc6d683ef891c5.mp3"
"Leydig cell hyperplasia","/ˈlaɪdɪɡ sɛl ˌhaɪpərˈpleɪʒiə/","Leydig hujayralari giperplaziyasi","гиперплазия клеток Лейдига","Testosteron ishlab chiqaruvchi Leydig hujayralari sonining kompensator ortishi.","Увеличение количества клеток Лейдига в ответ на стимуляцию лютеинизирующим гормоном.","Named after Franz Leydig + Greek hyper (over) + plasis (formation).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/7b/7bb4a7066d41d36a12ee24cd73247fd507d7151f.mp3"
"Leydig cells","/ˈlaɪdɪɡ sɛlz/","Leydig hujayralari","клетки Лейдига","Moyaklarning interstitsial to'qimasida joylashgan va testosteron ishlab chiqaruvchi hujayralar.","Интерстициальные клетки семенников, вырабатывающие тестостерон.","Named after German anatomist Franz Leydig.","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/9d/9d15b1f7e7d3c7211fe1fc509d69f6958413da59.mp3"
"LH surge","/ɛl eɪtʃ sɜːrdʒ/","LG cho'qqisi (to'lqini)","пик ЛГ","Ovulyatsiyani qo'zg'atuvchi lyuteinlovchi gormon miqdorining keskin ortishi.","Резкое повышение уровня лютеинизирующего гормона, вызывающее овуляцию.","Luteinizing (Latin luteus - yellow) + Surge (Latin surgere - to rise).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c7/c7748cc09f3bd33374d2faec6dab66b5c7c6096c.mp3"
